compname,gender,catg,compweight,num_tests,num_athletes,small_num_adjust,compscore
if3-euros-23,F,IndividualWomenPrelims,25,6,10,0.5773502691896257,0.8364105895290002
if3-euros-23,F,IndividualWomenFinal,75,6,6,0.4472135954999579,0.7956387784681488
if3-euros-23,M,IndividualMenPrelims,25,6,10,0.5773502691896257,0.887566483262468
if3-euros-23,M,IndividualMenFinal,75,6,6,0.4472135954999579,0.9311384766579259
cf-semi-africa-23,F,,75,7,26,0.9309493362512627,0.9730426841179182
cf-semi-africa-23,M,,75,7,27,0.9486832980505138,0.9587490753995676
cf-semi-asia-23,F,,75,7,26,0.9309493362512627,0.8241455602128173
cf-semi-asia-23,M,,75,7,28,0.9660917830792959,0.8504350777141843
cf-semi-europe-23,F,,75,7,59,1.0,0.9156780271669763
cf-semi-europe-23,M,,75,7,49,1.0,0.910117281224397
cf-semi-na-east-23,F,,75,7,59,1.0,0.9393325720825048
cf-semi-na-east-23,M,,75,7,54,1.0,0.8890316515058965
cf-semi-na-west-23,F,,75,7,58,1.0,0.9529204024842298
cf-semi-na-west-23,M,,75,7,56,1.0,0.9539375125088382
cf-semi-oceania-23,F,,75,7,29,0.983192080250175,0.8912995713922771
cf-semi-oceania-23,M,,75,7,28,0.9660917830792959,0.9345869218474814
cf-semi-south-am-23,F,,75,7,29,0.983192080250175,0.8567997312684941
cf-semi-south-am-23,M,,75,7,29,0.983192080250175,0.8296043766095496
cfg-23,M,,locked,12,40,1.0,
cfg-23,F,,locked,12,40,1.0,
